Cluster,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
0,GO:0022600,digestive system process,9/280,54/9469,0.16666666666666666,5.6363095238095235,5.963938472757786,2.5138685237744787e-5,0.0017937191290226134,0.0015877064360680917,181285/181078/173223/181604/188509/175953/171849/182010/174860,9
0,GO:0030421,defecation,8/280,49/9469,0.16326530612244897,5.521282798833819,5.5387055213602645,8.31504926905287e-5,0.005308502507032175,0.004698809005226553,181285/181078/173223/181604/188509/175953/171849/174860,8
0,GO:0009225,nucleotide-sugar metabolic process,6/280,27/9469,0.2222222222222222,7.515079365079365,5.9175727951474535,1.1105833086750636e-4,0.00641494073058501,0.005678170299992806,183400/187512/177717/179484/4926919/182938,6
0,GO:0006022,aminoglycan metabolic process,5/280,24/9469,0.20833333333333334,7.045386904761905,5.176101156972265,5.84086456258785e-4,0.0289288522640372,0.02560630824777016,179429/179428/179484/189507/180628,5
0,GO:0009168,purine ribonucleoside monophosphate biosynthetic process,4/280,14/9469,0.2857142857142857,9.662244897959182,5.661580981055199,5.925122428401684e-4,0.0289288522640372,0.02560630824777016,175613/180935/177576/173323,4
0,GO:0000902,cell morphogenesis,17/280,235/9469,0.07234042553191489,2.446398176291793,3.919231130886842,5.962253145926875e-4,0.0289288522640372,0.02560630824777016,181604/174044/174685/175953/179162/173051/180980/178186/180418/177956/177366/171988/175590/177292/181248/172088/181283,17
0,GO:0016477,cell migration,15/280,196/9469,0.07653061224489796,2.588101311953353,3.9216616826403263,6.969657194125694e-4,0.03015161541842711,0.026688634292355316,177850/174685/175953/179162/173051/177956/171849/171988/175590/181259/181480/177292/181248/179033/181283,15
0,GO:1901659,glycosyl compound biosynthetic process,5/280,25/9469,0.2,6.763571428571429,5.036834829223638,7.126485490582311e-4,0.03015161541842711,0.026688634292355316,182818/181385/183546/259729/173323,5
0,GO:1901136,carbohydrate derivative catabolic process,10/280,100/9469,0.1,3.3817857142857144,4.179555351497487,7.208547791709695e-4,0.03015161541842711,0.026688634292355316,179429/179428/183546/188583/183155/180290/178535/189507/180628/181517,10
0,GO:0006687,glycosphingolipid metabolic process,4/280,15/9469,0.26666666666666666,9.018095238095238,5.42479155806427,7.892986284494455e-4,0.030884491493844434,0.027337337895362798,188583/183155/181790/178535,4
0,GO:0048639,positive regulation of developmental growth,8/280,72/9469,0.1111111111111111,3.7575396825396825,4.099844832557751,0.0012272766047761957,0.043784897693927224,0.03875610330872197,180919/181373/190602/174044/173051/177366/171988/180324,8
1,GO:0000819,sister chromatid segregation,49/886,116/9469,0.4224137931034483,4.514487818167665,12.236071302704643,3.802407907881128e-21,6.7796932997520514e-18,5.351388813512704e-18,180040/266830/172468/175603/177374/179049/177046/177873/178831/172268/171788/174825/174669/174256/175813/24104386/176164/266820/173872/266859/179202/175018/179684/172886/179948/176359/176318/175006/172461/174659/172018/179353/171683/171964/176815/178669/176116/172521/174232/175634/175571/174779/174286/175393/175852/176322/174314/176509/174332,49
1,GO:0051276,chromosome organization,67/886,223/9469,0.3004484304932735,3.2110002125742745,10.734719497093392,7.9060969059407e-19,4.69885692776409e-16,3.7089303730676196e-16,180040/178186/188728/266830/172468/175603/177374/179049/177046/177873/178831/172268/171788/174825/174669/174256/175813/24104386/176559/176164/177390/266820/173872/266859/176652/179202/175018/179684/172886/179948/176359/176318/175006/176702/174238/172461/174659/172018/179353/171683/171964/174697/181545/176815/176114/178669/176116/172521/176750/181073/171927/174232/187559/176966/175634/175571/174779/174286/175393/174776/178418/175852/176322/174314/172864/176509/174332,67
1,GO:0098813,nuclear chromosome segregation,56/886,183/9469,0.30601092896174864,3.27044863017923,9.964357822608497,2.59539149223719e-16,9.25516606131782e-14,7.305344052886576e-14,180040/266830/176143/172468/175603/177374/179049/177046/177873/178831/172268/171788/174825/175850/174669/174256/175813/24104386/176164/266820/173872/266859/179202/175018/179684/172886/179948/172970/176359/176318/175006/172461/175273/174659/172018/179353/171683/171964/175097/176815/178669/176116/172521/171927/174232/175634/175571/174779/174286/175393/178418/175852/176322/174314/176509/174332,56
1,GO:0007059,chromosome segregation,61/886,219/9469,0.2785388127853881,2.976844264407269,9.50933346983537,1.6517556462374658e-15,4.908467195402336e-13,3.8743812263499863e-13,180040/172350/266830/183241/176143/172468/175603/177374/179049/177046/177873/178831/172268/171788/174825/175850/174669/174256/175813/24104386/176164/266820/185323/173872/266859/179202/175018/179684/172886/179948/172970/176359/176318/175006/172461/175273/174659/172018/179353/171683/171964/175097/176815/178669/176116/172521/176750/171927/174232/175634/175571/174779/175355/174286/175393/178418/175852/176322/174314/176509/174332,61
1,GO:0000280,nuclear division,56/886,211/9469,0.26540284360189575,2.836455447027484,8.66741248808191,2.3223479884014213e-13,5.915352090456764e-11,4.669141745101806e-11,180040/176374/178186/266830/176143/172468/176672/175603/177374/179049/177046/177873/178831/172268/171788/174825/175850/174669/174256/175813/24104386/176164/266820/173872/266859/179202/173874/175018/179684/172886/179948/176359/176318/175006/174659/179353/171683/171964/176815/178669/176116/172521/176750/174232/176866/175634/174779/185802/178418/175852/174314/176509/174332/172625/181004/175862,56
1,GO:0000278,mitotic cell cycle,76/886,351/9469,0.21652421652421652,2.3140720161036192,8.060265741973145,1.2630141703505406e-12,2.8149428321687673e-10,2.2219078233666748e-10,180040/176374/177658/266830/172746/176143/172468/176672/175603/177374/172249/173368/179049/177046/177873/178831/172268/171788/174825/174669/174256/175813/176536/24104386/176385/176559/176164/266820/176486/173872/171793/173167/179202/175018/177965/179684/171896/179521/172886/179948/175519/176359/176318/175006/172461/176501/174659/172018/179353/171683/171964/176815/172462/178669/176116/172521/179502/181373/174232/175634/175571/174779/175355/174286/178645/172856/175393/173894/178418/175852/173294/176322/174314/176509/174332/176410,76
1,GO:0050000,chromosome localization,22/886,43/9469,0.5116279069767442,5.467951073547169,9.43420584963096,2.8131810837256025e-12,5.01590187228275e-10,3.9591822199380326e-10,266830/172468/179049/177873/171788/174256/175813/176164/266820/172970/175006/176702/177537/175273/179353/171964/175097/178669/175202/177536/171927/175852,22
1,GO:0019752,carboxylic acid metabolic process,78/886,383/9469,0.20365535248041775,2.1765378472201755,7.551710842088475,1.6692982749645874e-11,2.289506787893738e-9,1.8071674442329177e-9,174127/181223/172310/181417/177820/181311/174252/178503/174912/175895/174181/179290/181380/173942/177416/3565504/180596/175827/181215/178452/180037/180921/174665/176477/183911/181218/180486/177961/172759/177612/175936/180574/174385/180429/173080/176353/175107/183943/175500/176760/174012/182291/172351/173500/187017/181492/178130/176620/174839/172071/181726/172376/179056/174126/178291/173393/177235/176109/181574/179484/172882/173416/181281/175766/178293/183101/174279/177108/190207/180875/174844/175598/171965/176473/24104659/174128/181393/173227,78
1,GO:0006955,immune response,73/886,358/9469,0.20391061452513967,2.179265924309873,7.307968535034123,7.308521059384367e-11,7.66534885228372e-9,6.050459849162166e-9,180111/178506/180932/191667/181174/177820/174181/183349/24104657/177224/179428/3565341/177420/178049/174929/179867/174096/181250/173877/179051/173944/174697/180081/174520/178564/180036/182792/177668/186063/181293/172546/179599/186340/185299/180613/178244/188447/179429/185506/177939/179126/178726/175240/180993/180917/179869/187208/191713/187266/183188/173841/179797/178086/187537/180190/175955/184745/180067/178987/184201/181079/178215/183836/185015/259654/180782/178293/188736/260040/175221/173814/175502/177104,73
1,GO:0002376,immune system process,73/886,359/9469,0.20334261838440112,2.173195545690626,7.280896718735753,8.373211930472342e-11,8.294131595573436e-9,6.546774474293287e-9,180111/178506/180932/191667/181174/177820/174181/183349/24104657/177224/179428/3565341/177420/178049/174929/179867/174096/181250/173877/179051/173944/174697/180081/174520/178564/180036/182792/177668/186063/181293/172546/179599/186340/185299/180613/178244/188447/179429/185506/177939/179126/178726/175240/180993/180917/179869/187208/191713/187266/183188/173841/179797/178086/187537/180190/175955/184745/180067/178987/184201/181079/178215/183836/185015/259654/180782/178293/188736/260040/175221/173814/175502/177104,73
1,GO:0140546,defense response to symbiont,69/886,333/9469,0.2072072072072072,2.2144977935045653,7.248818582628106,1.1848976825011255e-10,1.1119329304734245e-8,8.776776739634375e-9,191667/181174/177820/174181/183349/24104657/177224/179428/3565341/177420/178049/174929/179867/174096/181250/173877/179051/173944/174697/180081/174520/178564/180036/182792/177668/186063/181293/172546/179599/186340/185299/180613/178244/188447/179429/185506/177939/179126/178726/175240/180993/180917/179869/187208/191713/187266/183188/173841/179797/178086/187537/180190/175955/184745/180067/178987/184201/181079/178215/183836/185015/259654/180782/178293/188736/260040/175221/173814/175502,69
1,GO:0051321,meiotic cell cycle,55/886,238/9469,0.23109243697478993,2.4697678168332797,7.37801044732675,1.406459573090749e-10,1.2538587094104028e-8,9.89703394327543e-9,180040/176374/178186/172350/266830/172746/176143/172468/176672/175603/177374/179049/177046/175552/177873/178831/172268/171788/174825/175850/174669/175813/176385/176164/173872/171793/266859/176652/179202/173874/175018/179684/175519/175006/176702/174238/179353/176815/176416/176116/172521/176750/187559/176866/175634/175355/178645/174776/178418/176322/174314/178614/176509/181004/175862,55
1,GO:0051225,spindle assembly,20/886,43/9469,0.46511627906976744,4.970864612315607,8.384593639665555,2.5650004334982156e-10,1.939259312926434e-8,1.530707973777278e-8,172468/177374/179049/172268/171788/174256/179202/172886/179948/176359/175006/179353/171683/171964/176815/178669/176750/174232/175355/174332,20
1,GO:0051726,regulation of cell cycle,59/886,271/9469,0.2177121771217712,2.3267681773883204,7.119662691203456,3.716161907515835e-10,2.650366672440293e-8,2.0920035664625986e-8,180040/176374/178186/177658/183241/176143/172468/177374/172249/177046/177873/172268/171788/174256/24104386/176164/185323/176486/266859/176652/173167/179202/175018/171896/176052/179948/172970/176359/175006/172461/172018/171964/176416/172462/178669/174452/173998/178345/171927/180133/181373/174232/176256/175571/174779/174286/178645/172856/175393/178418/174458/176322/174314/178614/176509/176774/174332/175862/181247,59
1,GO:0051983,regulation of chromosome segregation,24/886,64/9469,0.375,4.0077595936794586,7.756756120988696,9.810539354559148e-10,6.727766026607293e-8,5.310401261961773e-8,180040/183241/172468/177046/177873/172268/171788/174256/24104386/176164/185323/266859/175018/179948/175006/172461/172018/178669/175571/174779/174286/175393/176322/174314,24
1,GO:0006260,DNA replication,33/886,112/9469,0.29464285714285715,3.1489539664624315,7.35011676350693,1.1569252976476996e-9,7.639991872984623e-8,6.03044492380107e-8,178186/188728/173122/177161/172249/173368/175552/178831/176209/176439/175152/24104386/176385/176486/175976/171793/176652/173874/171896/179521/176052/182229/174238/176544/179502/187559/172092/177879/177673/174776/175907/178418/3565940,33
1,GO:0051301,cell division,58/886,278/9469,0.20863309352517986,2.2297367523588356,6.686203598047801,2.9088885154296243e-9,1.5716812797003092e-7,1.2405690415085832e-7,180040/176374/177658/172350/266830/183241/176143/172468/176672/175603/177374/172249/177046/171849/177873/172268/171788/174825/174669/174256/175813/24104386/176559/176164/185323/173872/266859/176652/173167/179202/175018/177965/179948/176318/180653/175006/176808/176877/175097/176815/173998/176116/172521/176750/179502/172859/175634/174779/178645/175852/174458/173294/176322/174314/176509/176774/174332/176410,58
1,GO:0009607,response to biotic stimulus,82/886,465/9469,0.17634408602150536,1.8846525401101968,6.2850377628310135,7.859510711461742e-9,3.787434486090888e-7,2.9895208595232857e-7,191667/178660/181174/177820/180994/178868/174181/183349/176138/24104657/177224/179428/3565341/177420/178049/174929/179867/174096/181250/173877/171934/179051/173944/180628/174697/180081/174520/181545/178564/180036/182792/183853/177668/186063/181293/180670/172546/179599/186340/185299/177990/180613/178244/176866/188447/179429/185506/177939/179126/178726/175240/180993/180917/179869/187208/191713/187266/183188/173841/179797/178086/187537/180190/175955/184745/180067/178987/184201/181079/178215/183836/185015/259654/180782/178293/188736/260040/175221/173814/175502/179369/180431,82
1,GO:0044419,biological process involved in interspecies interaction between organisms,82/886,467/9469,0.17558886509635974,1.8765812230219303,6.241766655667463,9.63702891997473e-9,4.521795411661827e-7,3.569171098616681e-7,191667/178660/181174/177820/180994/178868/174181/183349/176138/24104657/177224/179428/3565341/177420/178049/174929/179867/174096/181250/173877/171934/179051/173944/180628/174697/180081/174520/181545/178564/180036/182792/183853/177668/186063/181293/180670/172546/179599/186340/185299/177990/180613/178244/176866/188447/179429/185506/177939/179126/178726/175240/180993/180917/179869/187208/191713/187266/183188/173841/179797/178086/187537/180190/175955/184745/180067/178987/184201/181079/178215/183836/185015/259654/180782/178293/188736/260040/175221/173814/175502/179369/180431,82
1,GO:0006952,defense response,82/886,468/9469,0.1752136752136752,1.8725714340838493,6.22020883974511,1.0663902992634628e-8,4.810344396842118e-7,3.7969303412804626e-7,191667/178660/178140/181174/177820/180994/178868/174181/183349/176138/24104657/177224/179428/3565341/177420/178049/174929/179867/174096/181250/173877/171934/179051/173944/174697/180081/174520/181545/178564/180036/182792/183853/177668/186063/181293/180670/172546/179599/186340/185299/177990/180613/178244/176866/188447/179429/185506/177939/179126/178726/175240/180993/180917/179869/187208/191713/187266/183188/173841/179797/178086/187537/180190/175955/184745/180067/178987/184201/181079/178215/183836/185015/259654/180782/178293/188736/260040/175221/173814/175502/179369/180431,82
1,GO:0034508,centromere complex assembly,11/886,17/9469,0.6470588235294118,6.915349887133183,7.842769863103118,3.310431086356929e-8,1.4396338114571717e-6,1.1363405295145609e-6,172468/179049/177873/174256/176164/176359/171964/174697/178669/171927/174779,11
1,GO:0071459,"protein localization to chromosome, centromeric region",10/886,14/9469,0.7142857142857143,7.633827797484682,7.980385564439223,3.45970589950972e-8,1.4687275282918644e-6,1.1593049593093976e-6,172468/177873/174256/176164/175018/176359/178669/174779/172611/175852,10
1,GO:0033044,regulation of chromosome organization,22/886,66/9469,0.3333333333333333,3.562452972159518,6.7115229980519935,5.977094753905667e-8,2.422081805957683e-6,1.9118123650650427e-6,180040/178186/172468/177046/177873/172268/171788/174256/176164/266859/176652/175018/179948/175006/172461/172018/178669/175571/174286/175393/176322/174314,22
1,GO:0030261,chromosome condensation,14/886,29/9469,0.4827586206896552,5.159414649334475,7.207284208745258,7.242604403865613e-8,2.8072964461070406e-6,2.215872331342866e-6,266830/175603/172268/174669/177390/179202/174659/181545/176116/172521/176750/181073/175852/176509,14
1,GO:0140694,membraneless organelle assembly,36/886,161/9469,0.2236024844720497,2.389720006169118,5.713977022190493,5.319858370703881e-7,1.6938049062437536e-5,1.3369644063216334e-5,172468/177374/179049/177873/172268/171788/174256/176164/179202/172886/179948/176359/175006/179353/171683/171964/174168/171892/176815/179592/178669/178345/176750/171927/180133/172546/259839/174232/176134/174779/175355/172028/174458/172902/174909/174332,36
1,GO:0071824,protein-DNA complex organization,20/886,65/9469,0.3076923076923077,3.288418128147248,5.947879711347714,1.025571732598779e-6,2.9493458051993918e-5,2.3279955967479925e-5,172730/191667/172468/179049/177873/174256/176164/177390/171896/176052/176359/171964/174697/181545/178669/181073/171927/173809/174779/178544,20
1,GO:0051783,regulation of nuclear division,16/886,45/9469,0.35555555555555557,3.799949836970153,6.0487453075468585,1.4398864554139815e-6,3.949719307697121e-5,3.117616503463147e-5,180040/176374/178186/172468/177046/172268/171788/174256/176164/175018/175006/185802/174314/176509/172625/175862,16
1,GO:0042254,ribosome biogenesis,39/886,190/9469,0.20526315789473684,2.1937210407508614,5.340175024858459,1.8128547421510022e-6,4.753411772434172e-5,3.751991935380635e-5,174645/171901/173968/179999/176138/174151/178728/177054/173006/172226/191277/174168/171892/173437/176053/171622/179115/171811/171886/172182/172320/176134/174038/174111/172651/177875/178103/174842/172028/175069/183993/172420/175715/172902/3565889/177848/180369/175664/176084,39
1,GO:0006364,rRNA processing,32/886,142/9469,0.22535211267605634,2.408418910755731,5.432896866104885,1.8924840267648783e-6,4.890288434379388e-5,3.8600322559643664e-5,174645/173968/179999/176138/174151/178728/177054/172226/174168/171892/173437/171622/179115/171811/171886/172182/172320/176134/174038/174111/172651/177875/178103/174842/175069/183993/172420/175715/172902/3565889/177848/180369,32
1,GO:0016072,rRNA metabolic process,33/886,152/9469,0.21710526315789475,2.32028187002495,5.272017402679743,3.144819787712933e-6,8.010305259274514e-5,6.322742941612318e-5,174645/173968/179999/176138/174151/178728/177054/172226/174168/171892/173437/171622/179115/171811/171886/172182/172320/176134/174038/174111/172651/177875/178103/174842/176362/175069/183993/172420/175715/172902/3565889/177848/180369,33
1,GO:0006885,regulation of pH,13/886,35/9469,0.37142857142857144,3.969590454692035,5.65469355411644,8.066023232762572e-6,1.997461031113287e-4,1.5766481085092922e-4,174743/180919/180943/172134/3564970/187779/174596/172613/180692/177103/176338/176383/181526,13
1,GO:0044282,small molecule catabolic process,35/886,177/9469,0.1977401129943503,2.1133195597556464,4.803726812221283,1.4415176594204334e-5,3.4732783604684225e-4,2.741549232781109e-4,174127/172310/173747/178503/174912/174181/173942/180596/180037/180921/174665/183911/188583/177961/177612/180429/179405/174548/176353/183943/176760/174012/172351/178130/176620/174839/172376/179056/174126/181574/173416/175766/183101/174844/176473,35
1,GO:0010629,negative regulation of gene expression,56/886,345/9469,0.16231884057971013,1.7347597081820263,4.466719406786727,2.6307705621678865e-5,6.171926200454397e-4,4.871662384513109e-4,181174/177212/171849/174669/179824/24104386/185323/187585/173468/176138/174341/176702/181182/259704/176805/174168/181545/177988/172521/172288/177610/180133/172546/187385/186201/180392/180430/176658/172859/173973/184304/176866/176506/174111/180414/177875/174460/187434/175668/174700/177544/176438/176322/3565889/174909/178614/175474/179339/176509/180369/180409/175859/176084/175502/177397/181334,56
1,GO:0030641,regulation of cellular pH,12/886,34/9469,0.35294117647058826,3.7720090293453725,5.202230322621912,3.2802553675379133e-5,7.246421203957849e-4,5.719789325909403e-4,174743/180943/172134/3564970/187779/174596/172613/180692/177103/176338/176383/181526,12
1,GO:0045839,negative regulation of mitotic nuclear division,8/886,16/9469,0.5,5.3436794582392775,5.586751582695767,3.6998339663869744e-5,7.246421203957849e-4,5.719789325909403e-4,172468/177046/172268/171788/174256/176164/175018/175006,8
1,GO:0071174,mitotic spindle checkpoint signaling,8/886,16/9469,0.5,5.3436794582392775,5.586751582695767,3.6998339663869744e-5,7.246421203957849e-4,5.719789325909403e-4,172468/177046/172268/171788/174256/176164/175018/175006,8
1,GO:0051028,mRNA transport,14/886,45/9469,0.3111111111111111,3.324956107348884,5.022614033613089,3.739039544386551e-5,7.246421203957849e-4,5.719789325909403e-4,174659/176114/177738/174232/175634/174779/175432/178353/172611/175852/172864/191736/175735/174418,14
1,GO:0009792,embryo development ending in birth or egg hatching,50/886,302/9469,0.16556291390728478,1.7694302841851914,4.366018392608273,4.1961794564035484e-5,7.856884519303679e-4,6.201643948584006e-4,171829/179162/177870/266830/180848/183241/176672/172249/172802/177046/178831/176209/174669/174256/24104386/266820/185323/176652/173468/173167/175018/175525/175953/181259/172886/176359/176702/175918/174659/176808/177601/171683/176416/179171/172521/172859/177757/176256/176966/177017/173175/176755/172856/172611/174272/175852/176383/178614/174332/179484,50
1,GO:1902600,proton transmembrane transport,18/886,69/9469,0.2608695652173913,2.7880066738639706,4.789125118569259,4.3961804922665984e-5,8.080814245063242e-4,6.378397523776931e-4,179796/174743/172216/172134/177442/177757/181120/3564970/187779/174596/177017/180692/180534/174272/175605/176338/176383/180884,18
1,GO:0046394,carboxylic acid biosynthetic process,26/886,122/9469,0.21311475409836064,2.2776338674462493,4.563274969206544,4.806292589869901e-5,8.65618150276569e-4,6.832549912446633e-4,181223/181417/177820/174252/175895/181380/181215/178452/181218/180486/177961/172759/180574/175107/182291/173500/181726/178291/179484/172882/173416/178293/174279/190207/180875/181393,26
1,GO:0051236,establishment of RNA localization,17/886,64/9469,0.265625,2.838829712189616,4.742185397880824,5.556319842336907e-5,9.449374374911844e-4,7.458637741982548e-4,174659/176805/176114/177738/180392/174232/176966/175634/174779/175432/178353/172611/175852/172864/191736/175735/174418,17
1,GO:0090435,protein localization to nuclear envelope,8/886,17/9469,0.47058823529411764,5.029345372460496,5.342241635427998,6.417106052361676e-5,0.0010594166751260064,8.362252233925499e-4,187585/181182/180430/173973/176966/180414/172611/175852,8
1,GO:0110039,positive regulation of nematode male tail tip morphogenesis,11/886,33/9469,0.3333333333333333,3.562452972159518,4.737457608041987,1.2694272095985085e-4,0.0019967790130172684,0.0015761097738312645,176143/172468/175603/174669/266820/171896/174238/176808/176229/175955/174332,11
1,GO:0055082,intracellular chemical homeostasis,26/886,129/9469,0.20155038759689922,2.1540413320034295,4.240032736422452,1.2831181191300052e-4,0.0019967790130172684,0.0015761097738312645,181223/179796/174743/180919/181494/171934/180943/172134/3564970/187779/174596/172613/180692/176370/177103/177736/176338/176383/181526/179857/176770/179138/177546/175201/182726/3565570,26
1,GO:0035295,tube development,21/886,96/9469,0.21875,2.337859762979684,4.232854395212589,1.7027021212545677e-4,0.002572811764573639,0.0020307874541635657,177292/172249/172802/171849/176536/175953/176052/181019/180579/178970/179171/180133/172859/176793/174385/180414/172856/176229/175955/172905/172174,21
1,GO:0006406,mRNA export from nucleus,10/886,29/9469,0.3448275862068966,3.685296178096054,4.652984703819408,1.871472876322991e-4,0.002804063981919238,0.00221332086301976,176114/177738/174232/174779/175432/178353/172611/191736/175735/174418,10
1,GO:0055080,monoatomic cation homeostasis,26/886,132/9469,0.19696969696969696,2.10508584718517,4.107766345485113,1.8975849596678402e-4,0.002819494985906466,0.002225500957084125,179796/174743/180919/181494/171934/180943/172134/3564970/187779/174596/172613/180692/176370/177103/178499/3565648/176338/176383/181526/179857/176770/179138/177546/175201/182726/3565570,26
1,GO:0031503,protein-containing complex localization,8/886,20/9469,0.4,4.274943566591422,4.710340726570763,2.5760220721993566e-4,0.0037647929137143055,0.00297164927569503,172468/187585/175018/181182/180430/173973/180414/175852,8
1,GO:0065001,specification of axis polarity,8/886,20/9469,0.4,4.274943566591422,4.710340726570763,2.5760220721993566e-4,0.0037647929137143055,0.00297164927569503,177870/171849/266859/176808/172859/176322/173500/174314,8
1,GO:0006997,nucleus organization,14/886,53/9469,0.2641509433962264,2.823075940201883,4.275982299334554,2.649817017886883e-4,0.0037868407915230278,0.0029890522409105227,176143/187585/179999/181182/180430/173973/176966/175634/180414/185802/172611/176307/175852/176084,14
1,GO:0170039,proteinogenic amino acid metabolic process,22/886,106/9469,0.20754716981132076,2.218131095872908,4.051966816427229,2.68233296533709e-4,0.0037957140295206593,0.0029960561191776855,181223/181417/174252/181380/181215/178452/180921/183911/181218/177961/172759/174385/175107/174012/178130/181726/181574/175766/183101/180875/176473/181393,22
1,GO:0044283,small molecule biosynthetic process,33/886,188/9469,0.17553191489361702,1.8759725757648529,3.8976108666952824,2.796853413344667e-4,0.0038959294031199543,0.0030751587283238653,181223/181417/177820/174252/175895/188368/181380/181215/178452/181218/180486/177961/172759/180574/175107/182291/173500/174479/181726/175732/178291/179484/172882/173416/178293/174279/190207/180875/174844/171965/181393/175969/173227,33
1,GO:1901136,carbohydrate derivative catabolic process,21/886,100/9469,0.21,2.2443453724604967,4.019025362750194,3.0985177295594826e-4,0.00424973623984966,0.0033544276958874727,189507/181517/178535/3565504/179428/175827/181019/173944/180628/188583/179429/178086/179653/176760/179660/172376/173393/177235/174844/171965/173227,21
1,GO:0007292,female gamete generation,32/886,183/9469,0.17486338797814208,1.8688277886738458,3.813039792002898,3.6908372237514e-4,0.004768668673875902,0.003764034605763251,180111/180040/176374/178186/176143/176672/177374/182492/171788/173872/266859/177965/175006/176815/176416/172546/176866/177017/180871/176755/177103/175852/176383/174314/180168/181004/175221/179672/177546/180864/175201/174462,32
1,GO:0046395,carboxylic acid catabolic process,27/886,145/9469,0.18620689655172415,1.990059936171869,3.859853173479148,3.747724007013272e-4,0.004772994217503331,0.003767448870208079,174127/172310/178503/174912/174181/173942/180596/180037/180921/174665/183911/177961/177612/180429/176353/183943/176760/174012/172351/178130/176620/179056/174126/181574/175766/183101/176473,27
1,GO:0040009,regulation of growth rate,9/886,26/9469,0.34615384615384615,3.6994703941656537,4.428296352729315,3.80597571372634e-4,0.004812804750052527,0.003798872362263619,180919/181019/174788/180574/176506/174748/175040/176185/181004,9
1,GO:0170033,L-amino acid metabolic process,21/886,102/9469,0.20588235294117646,2.200338600451467,3.915885886152384,4.1141265601798754e-4,0.005049885614580043,0.003986006474418347,181223/181417/174252/181380/181215/178452/180921/183911/181218/177961/172759/174385/175107/178130/181726/181574/175766/183101/180875/176473/181393,21
